"CCAA","ID","CODIGO","ISO","LITERAL","MEANDIFF_math","SE_math","MEANDIFF_science","SE_science","MEANDIFF_read","SE_read","MEANDIFF_gcomp","SE_gcomp","MEANW_math","SEW_math","MEANM_math","SEM_math","MEANW_science","SEW_science","MEANM_science","SEM_science","MEANW_read","SEW_read","MEANM_read","SEM_read","MEANW_gcomp","SEW_gcomp","MEANM_gcomp","SEM_gcomp","MEAN_math","SEMEAN_math","MEAN_science","SEMEAN_science","MEAN_read","SEMEAN_read","MEAN_gcomp","SEMEAN_gcomp"
"Andalusia","935",1,"AN","Andalucía",-11.1767896500148,6.01062700889771,-6.6056579394819,6.23951577807514,20.5336861346018,7.26799001117744,19.2121909663693,6.85831088675818,461.585173703906,3.81130768693179,472.761963353921,5.83881092714399,467.44878485863,4.10645799371921,474.054442798112,6.02996092891262,476.476128897856,5.44539669907133,455.942442763254,6.51486625623805,510.539174211132,5.52457149595258,491.326983244762,6.46954514054487,467.40817992749,4.21123179324177,470.890272843726,4.41958563155019,465.778264314286,5.32194110724911,500.529796646644,5.22743710134488
"Aragon","936",2,"AR","Aragón",-4.27059788989608,5.65806779121727,0.906605318404633,5.78590753629815,31.6774311301629,5.96723479862983,27.7365891260461,6.59624562748612,494.556713747116,6.13949586478851,498.827311637012,6.72330204424926,493.94077441405,5.53699639768337,493.034169095645,6.19432191752022,505.507840990911,4.64940809149324,473.830409860748,5.36952789378145,540.415059550225,7.59622479577089,512.678470424179,7.17647586589661,496.709851659665,5.93233369848862,493.483684720029,5.28581326025965,489.536803750458,4.59497813384486,526.430904836574,6.8873235121061
"Asturias","951",3,"AS","Asturias, Principado de",-6.45905649239503,4.8237378214598,-0.587064799344392,4.73219385283658,29.5553009573324,4.76376138641596,27.289607068702,5.78025282507638,487.436554321614,5.50739971021065,493.895610814009,5.27375161282871,495.868842509129,4.85304487934507,496.455907308474,5.56540818995921,509.386137393009,3.97598492942924,479.830836435677,4.7632546501911,540.12482373459,6.64422721580634,512.835216665888,8.17046140364807,490.651376122105,4.96559668549065,496.161038237322,4.75175031673203,494.675780555354,3.88518930521248,526.542155145982,6.9412920102254
"Balearic Islands","947",4,"IB","Balears, Illes",-13.2946541748112,5.54846348092989,-7.08055765506469,5.03913247633018,15.5399094988482,5.46823300581336,12.3081104627738,5.84435270648675,475.82687222577,6.15389333127633,489.121526400581,5.4185500199533,478.573649194519,5.37468053582655,485.654206849584,5.80138911417025,486.582388262114,4.31982256033094,471.042478763266,4.91467673378197,519.472628485725,7.32099701649172,507.164518022951,7.50448777804779,482.540581242019,5.22729078997617,482.149282162765,5.16062807959706,478.734840733441,4.18391504390057,513.257117265925,6.99019523231882
"Basque Country","950",16,"PV","País Vasco",3.17643119131678,4.55502129861122,8.34583659460548,3.89486757761789,35.1396778762059,4.13819508404955,33.0434815779681,4.65568330068102,500.787956846225,4.02063343469189,497.611525654908,4.03040103423907,491.501132120652,4.71068190482448,483.155295526047,4.42677453645633,492.62185622514,3.56381571715893,457.482178348935,3.64024916465442,531.685698031344,6.00209383709558,498.642216453376,5.64530396596301,499.218236061655,3.48229235785288,487.376807563273,4.20815383088626,475.256618509256,3.34233394718297,515.35635333492,5.5258230640977
"Canary Islands","948",5,"CN","Canarias",-9.16634263604975,5.31811988986343,-6.61982003414065,4.90991596438008,17.2285672752271,5.17769595240882,16.0740738794213,5.72643745049505,455.796110949326,5.5073411049539,464.962453585376,4.78004400458508,466.2694728381,5.03000355416395,472.88929287224,5.10061164432798,480.405878665577,4.67649735076292,463.17731139035,3.85968819580591,508.988477761374,5.83712944754798,492.914403881953,6.3424247478716,460.412525470697,4.52273347560494,469.6033906882,4.46955977129108,471.729112881264,3.85721795556347,500.893145629373,5.58622438304912
"Cantabria","937",6,"CB","Cantabria",-13.9116097585431,5.18763681223154,-11.4694066540683,4.90767097189419,17.3806902804052,5.33720442816694,14.733806622112,5.71011495603984,492.010619653013,7.97033176252737,505.922229411556,7.8461249410671,489.782812656568,9.28037160937216,501.252219310637,9.54500831373518,491.509079469527,5.08498038694801,474.128389189122,4.47988381223526,533.629201316401,7.01955318174736,518.895394694289,7.48030179273019,498.802355514915,7.55140453285799,495.38224951824,9.15262210404178,483.023716558197,4.33396539718072,526.436063746086,6.77825041931913
"Castile – La Mancha","939",8,"CM","Castilla - La Mancha",-7.13892505425695,5.9292040127658,-2.52368394767361,5.96455832567628,25.7997427923965,6.25740107397667,25.2402791293284,6.85994795251732,475.12541358333,5.34376080404884,482.264338637587,5.87387842977986,483.135100073839,6.67021592255943,485.658784021513,6.3942157985178,491.438949017275,5.01758777282028,465.639206224879,5.45025701840535,524.958791719359,7.16040692224268,499.718512590031,6.36316876588209,478.857322690793,5.10470309880244,484.454368596355,6.09056877448552,477.952003242471,4.88084377822314,511.764308398444,6.2893505701748
"Castile and Leon","938",7,"CL","Castilla y León",-11.5650529894533,6.17518921709472,-7.28994571848631,5.62194105100286,19.6467751916458,6.08936600584148,21.3027912503949,6.50639385821119,496.536527468125,5.04634325844386,508.101580457579,5.69857768154224,497.380435884719,5.00332517786521,504.670381603205,5.84075316059251,506.490427391867,5.16399687198186,486.843652200222,5.35768706126266,545.182648251809,6.46671917267787,523.879857001414,6.26572936380736,502.398055540674,4.72689904133407,501.075206804941,4.97190653697044,496.532831484101,4.6836354011561,534.385731968615,5.78305250267712
"Catalonia","940",9,"CT","Cataluña",-0.265704922713059,6.13507864176648,4.22102480184917,6.39112767706623,39.5438188101655,5.70965615816057,35.3848398308122,6.23187883174373,489.692972264341,5.00871556875765,489.958677187054,4.39498271039604,490.799314346528,5.54126404069204,486.578289544679,5.3119021490682,503.98013031027,4.87203060566993,464.436311500104,4.59219697448813,532.571780753172,5.64443242380599,497.18694092236,5.17330565903585,489.82502839417,3.93787964345824,488.701452577336,4.73625470650852,484.326735794945,4.2878733549035,514.985411050362,4.71804937760526
